date,usd_krw,jpy_krw_100
2015-01-01,1090,921
2015-02-01,1099,924
2015-03-01,1109,922
2015-04-01,1078,904
2015-05-01,1100,900
2015-06-01,1118,908
2015-07-01,1155,933
2015-08-01,1178,964
2015-09-01,1190,991
2015-10-01,1145,950
2015-11-01,1151,939
2015-12-01,1172,967
2016-01-01,1205,1017
2016-02-01,1226,1073
2016-03-01,1171,1039
2016-04-01,1146,1051
2016-05-01,1181,1074
2016-06-01,1168,1120
2016-07-01,1135,1086
2016-08-01,1115,1092
2016-09-01,1102,1086
2016-10-01,1135,1089
2016-11-01,1165,1056
2016-12-01,1195,1028
2017-01-01,1171,1024
2017-02-01,1139,1008
2017-03-01,1125,1001
2017-04-01,1131,1022
2017-05-01,1125,1009
2017-06-01,1135,1018
2017-07-01,1127,1010
2017-08-01,1127,1024
2017-09-01,1139,1021
2017-10-01,1128,998
2017-11-01,1094,973
2017-12-01,1079,955
2018-01-01,1069,973
2018-02-01,1075,998
2018-03-01,1069,1006
2018-04-01,1072,990
2018-05-01,1079,988
2018-06-01,1107,1004
2018-07-01,1120,1007
2018-08-01,1115,1004
2018-09-01,1117,992
2018-10-01,1136,1006
2018-11-01,1125,992
2018-12-01,1120,1006
2019-01-01,1120,1028
2019-02-01,1120,1012
2019-03-01,1134,1023
2019-04-01,1150,1029
2019-05-01,1187,1081
2019-06-01,1166,1081
2019-07-01,1179,1087
2019-08-01,1212,1139
2019-09-01,1199,1115
2019-10-01,1176,1084
2019-11-01,1173,1075
2019-12-01,1167,1070
2020-01-01,1174,1076
2020-02-01,1205,1097
2020-03-01,1221,1133
2020-04-01,1225,1141
2020-05-01,1234,1148
2020-06-01,1205,1120
2020-07-01,1195,1130
2020-08-01,1186,1121
2020-09-01,1176,1114
2020-10-01,1139,1086
2020-11-01,1111,1065
2020-12-01,1092,1055
2021-01-01,1106,1064
2021-02-01,1110,1049
2021-03-01,1132,1034
2021-04-01,1113,1021
2021-05-01,1120,1022
2021-06-01,1126,1020
2021-07-01,1146,1043
2021-08-01,1162,1058
2021-09-01,1177,1060
2021-10-01,1177,1038
2021-11-01,1188,1043
2021-12-01,1185,1035
2022-01-01,1198,1041
2022-02-01,1201,1041
2022-03-01,1216,1011
2022-04-01,1251,974
2022-05-01,1258,981
2022-06-01,1285,949
2022-07-01,1306,963
2022-08-01,1333,973
2022-09-01,1413,983
2022-10-01,1423,965
2022-11-01,1348,958
2022-12-01,1282,956
2023-01-01,1238,949
2023-02-01,1294,962
2023-03-01,1305,979
2023-04-01,1330,996
2023-05-01,1325,958
2023-06-01,1305,913
2023-07-01,1283,910
2023-08-01,1320,908
2023-09-01,1337,902
2023-10-01,1352,905
2023-11-01,1300,876
2023-12-01,1297,909
2024-01-01,1327,904
2024-02-01,1333,888
2024-03-01,1339,889
2024-04-01,1373,886
2024-05-01,1371,877
2024-06-01,1385,869
2024-07-01,1384,890
2024-08-01,1345,924
2024-09-01,1327,927
2024-10-01,1372,904
2024-11-01,1394,914
2024-12-01,1452,935
2025-01-01,1445,928
2025-02-01,1443,957
2025-03-01,1462,980
2025-04-01,1441,1006
2025-05-01,1388,961
2025-06-01,1362,942
2025-07-01,1379,932
2025-08-01,1389,943
2025-09-01,1397,942
2025-10-01,1423,931
