date,kculture_mean,kdrama_mean,kfood_mean,kpop_mean,k_index
2015-01-01,26.75,39.75,16.75,13.0,24.0625
2015-02-01,21.75,36.5,17.0,13.4,22.1625
2015-03-01,25.75,36.25,18.0,11.8,22.95
2015-04-01,30.75,37.0,16.75,13.8,24.575
2015-05-01,22.75,38.0,18.75,13.4,23.225
2015-06-01,25.25,39.5,19.75,13.4,24.475
2015-07-01,19.25,37.75,19.5,14.0,22.625
2015-08-01,21.75,34.75,21.75,13.1,22.8375
2015-09-01,25.5,33.25,28.5,14.1,25.3375
2015-10-01,28.5,35.0,31.25,13.3,27.0125
2015-11-01,36.25,33.0,25.25,13.7,27.05
2015-12-01,26.25,35.75,25.25,14.9,25.5375
2016-01-01,24.5,34.5,23.0,15.7,24.425
2016-02-01,27.25,33.25,18.0,13.9,23.1
2016-03-01,26.25,35.75,21.25,14.5,24.4375
2016-04-01,25.25,35.25,24.5,14.3,24.825
2016-05-01,26.25,35.0,21.5,15.6,24.5875
2016-06-01,21.0,38.0,23.0,15.2,24.3
2016-07-01,23.25,42.75,25.75,13.3,26.2625
2016-08-01,20.0,42.5,22.75,16.3,25.3875
2016-09-01,28.75,39.0,26.25,14.6,27.15
2016-10-01,38.5,33.5,28.0,18.9,29.725
2016-11-01,32.25,33.25,27.75,18.5,27.9375
2016-12-01,23.25,40.25,26.5,18.2,27.05
2017-01-01,26.75,37.5,27.75,17.8,27.45
2017-02-01,25.25,33.25,26.0,19.8,26.075
2017-03-01,23.75,34.75,25.25,19.4,25.7875
2017-04-01,27.25,35.0,28.5,19.3,27.5125
2017-05-01,24.0,36.25,26.25,19.9,26.6
2017-06-01,21.5,34.0,27.75,20.9,26.0375
2017-07-01,27.0,33.75,27.0,22.3,27.5125
2017-08-01,23.25,31.25,27.75,16.6,24.7125
2017-09-01,22.75,31.5,29.5,19.1,25.7125
2017-10-01,22.5,33.5,30.25,17.5,25.9375
2017-11-01,26.5,33.0,31.25,18.8,27.3875
2017-12-01,20.0,37.75,28.5,20.8,26.7625
2018-01-01,25.75,36.25,29.0,21.3,28.075
2018-02-01,25.75,31.75,28.75,19.3,26.3875
2018-03-01,21.5,34.25,30.0,18.1,25.9625
2018-04-01,19.75,32.5,30.0,18.8,25.2625
2018-05-01,20.0,33.5,32.25,22.4,27.0375
2018-06-01,17.25,33.5,35.25,26.6,28.15
2018-07-01,20.5,32.25,31.5,22.5,26.6875
2018-08-01,21.0,32.75,32.5,24.5,27.6875
2018-09-01,21.75,30.75,32.0,22.9,26.85
2018-10-01,46.0,32.25,33.25,24.2,33.925
2018-11-01,27.75,31.75,32.0,26.7,29.55
2018-12-01,25.25,32.25,34.5,28.3,30.075
2019-01-01,24.5,31.75,32.75,26.4,28.85
2019-02-01,24.5,31.5,33.5,25.2,28.675
2019-03-01,22.0,32.25,37.0,22.9,28.5375
2019-04-01,22.25,31.5,36.5,38.7,32.2375
2019-05-01,20.5,31.0,43.75,30.7,31.4875
2019-06-01,22.0,33.25,41.0,30.0,31.5625
2019-07-01,24.25,34.0,43.5,26.9,32.1625
2019-08-01,21.75,31.75,44.5,23.9,30.475
2019-09-01,24.5,30.0,44.0,19.9,29.6
2019-10-01,24.75,32.0,43.75,20.5,30.25
2019-11-01,23.5,30.75,47.0,20.1,30.3375
2019-12-01,22.25,33.25,44.75,21.6,30.4625
2020-01-01,22.75,31.75,45.0,21.6,30.275
2020-02-01,25.0,33.25,44.5,22.6,31.3375
2020-03-01,22.0,40.0,42.75,21.3,31.5125
2020-04-01,25.5,50.75,49.0,22.9,37.0375
2020-05-01,23.5,45.5,47.0,23.8,34.95
2020-06-01,23.75,40.25,46.75,33.2,35.9875
2020-07-01,25.5,40.5,51.0,32.7,37.425
2020-08-01,23.5,37.5,51.25,36.4,37.1625
2020-09-01,27.0,37.0,50.25,35.7,37.4875
2020-10-01,38.25,39.25,47.25,41.1,41.4625
2020-11-01,46.0,39.25,46.75,33.3,41.325
2020-12-01,31.75,41.5,50.75,31.4,38.85
2021-01-01,30.0,41.25,50.75,29.5,37.875
2021-02-01,32.0,40.5,49.75,28.6,37.7125
2021-03-01,27.5,39.5,51.25,28.8,36.7625
2021-04-01,29.0,42.25,60.25,27.9,39.85
2021-05-01,26.25,47.0,55.75,31.6,40.15
2021-06-01,25.75,47.25,55.5,32.7,40.3
2021-07-01,22.75,48.25,58.75,32.2,40.4875
2021-08-01,23.5,53.0,60.75,30.0,41.8125
2021-09-01,29.25,49.75,60.0,30.7,42.425
2021-10-01,31.75,50.25,60.75,28.9,42.9125
2021-11-01,45.25,46.75,59.75,26.9,44.6625
2021-12-01,26.75,49.5,60.0,27.2,40.8625
2022-01-01,30.0,51.0,60.75,25.2,41.7375
2022-02-01,32.75,50.75,60.25,24.6,42.0875
2022-03-01,33.25,52.0,62.5,24.8,43.1375
2022-04-01,31.75,51.5,69.75,25.8,44.7
2022-05-01,30.0,53.75,61.0,24.1,42.2125
2022-06-01,30.25,57.5,68.0,27.2,45.7375
2022-07-01,27.5,58.75,69.5,25.3,45.2625
2022-08-01,25.5,56.75,65.75,27.9,43.975
2022-09-01,30.0,55.75,67.0,38.1,47.7125
2022-10-01,39.75,55.25,62.5,24.9,45.6
2022-11-01,29.75,54.5,61.25,22.9,42.1
2022-12-01,27.75,56.25,64.75,20.8,42.3875
2023-01-01,34.5,60.75,63.25,20.3,44.7
2023-02-01,33.0,55.5,59.0,26.5,43.5
2023-03-01,32.25,56.75,67.25,26.2,45.6125
2023-04-01,31.25,60.5,66.0,23.6,45.3375
2023-05-01,32.0,59.25,61.5,21.8,43.6375
2023-06-01,27.5,62.25,62.75,22.1,43.65
2023-07-01,24.75,62.75,66.25,20.3,43.5125
2023-08-01,26.5,59.25,60.25,18.9,41.225
2023-09-01,28.5,56.5,62.5,16.1,40.9
2023-10-01,27.0,55.25,56.5,14.8,38.3875
2023-11-01,27.25,56.25,57.5,14.4,38.85
2023-12-01,29.75,64.75,59.25,15.2,42.2375
2024-01-01,31.75,58.75,59.0,13.9,40.85
2024-02-01,28.25,57.75,58.0,12.6,39.15
2024-03-01,27.0,58.0,63.0,12.8,40.2
2024-04-01,26.5,61.75,63.25,13.1,41.15
2024-05-01,25.75,62.25,64.25,13.0,41.3125
2024-06-01,25.75,66.5,68.75,13.8,43.7
2024-07-01,21.5,64.25,69.25,12.8,41.95
2024-08-01,23.25,62.25,63.0,11.9,40.1
2024-09-01,28.25,60.75,65.0,11.2,41.3
2024-10-01,28.0,59.0,61.5,11.2,39.925
2024-11-01,28.25,62.25,61.75,11.3,40.8875
2024-12-01,25.5,63.5,60.5,11.6,40.275
2025-01-01,26.0,68.0,65.5,11.6,42.775
2025-02-01,27.5,64.5,62.75,11.7,41.6125
2025-03-01,26.0,64.0,64.25,12.0,41.5625
2025-04-01,27.75,65.5,63.25,11.9,42.1
2025-05-01,26.5,69.25,67.0,11.9,43.6625
2025-06-01,30.25,71.5,67.0,20.8,47.3875
2025-07-01,37.0,86.75,74.5,42.2,60.1125
2025-08-01,59.5,84.0,87.0,53.3,70.95
2025-09-01,61.75,82.0,82.75,50.6,69.275
