date,google_search_index,youtube_search_index
2015-01-01,1975.0,1865.0
2015-02-01,2029.0,2056.0
2015-03-01,1945.0,1980.0
2015-04-01,2079.0,2054.0
2015-05-01,2136.0,2112.0
2015-06-01,2076.0,2128.0
2015-07-01,2259.0,1995.0
2015-08-01,2105.0,2073.0
2015-09-01,2204.0,2315.0
2015-10-01,2225.0,2453.0
2015-11-01,2130.0,2130.0
2015-12-01,2186.0,2150.0
2016-01-01,2168.0,2239.0
2016-02-01,2141.0,2130.0
2016-03-01,2161.0,2383.0
2016-04-01,2327.0,2357.0
2016-05-01,2362.0,2330.0
2016-06-01,2319.0,2313.0
2016-07-01,2376.0,2267.0
2016-08-01,2241.0,2259.0
2016-09-01,2322.0,2451.0
2016-10-01,2376.0,2759.0
2016-11-01,2294.0,2648.0
2016-12-01,2395.0,2595.0
2017-01-01,2441.0,2491.0
2017-02-01,2429.0,2547.0
2017-03-01,2416.0,2528.0
2017-04-01,2507.0,2565.0
2017-05-01,2523.0,2648.0
2017-06-01,2465.0,2510.0
2017-07-01,2588.0,2550.0
2017-08-01,2466.0,2149.0
2017-09-01,2358.0,2229.0
2017-10-01,2492.0,2262.0
2017-11-01,2504.0,2215.0
2017-12-01,2682.0,2256.0
2018-01-01,2632.0,2400.0
2018-02-01,2716.0,2203.0
2018-03-01,2598.0,2089.0
2018-04-01,2494.0,2096.0
2018-05-01,2638.0,2208.0
2018-06-01,2664.0,2148.0
2018-07-01,2585.0,2198.0
2018-08-01,2768.0,2539.0
2018-09-01,2733.0,2534.0
2018-10-01,2493.0,2853.0
2018-11-01,2549.0,2849.0
2018-12-01,2669.0,2959.0
2019-01-01,2622.0,2963.0
2019-02-01,2596.0,2890.0
2019-03-01,2567.0,2831.0
2019-04-01,2583.0,3079.0
2019-05-01,2528.0,3091.0
2019-06-01,2625.0,3120.0
2019-07-01,2665.0,3026.0
2019-08-01,2649.0,2968.0
2019-09-01,2686.0,2999.0
2019-10-01,2489.0,2856.0
2019-11-01,2518.0,2965.0
2019-12-01,2584.0,2946.0
2020-01-01,2603.0,2893.0
2020-02-01,2476.0,2790.0
2020-03-01,2627.0,3095.0
2020-04-01,3181.0,3765.0
2020-05-01,3322.0,3559.0
2020-06-01,3327.0,3558.0
2020-07-01,3275.0,3550.0
2020-08-01,3276.0,3398.0
2020-09-01,3318.0,3344.0
2020-10-01,3270.0,3451.0
2020-11-01,3162.0,3607.0
2020-12-01,3413.0,3397.0
2021-01-01,3468.0,3581.0
2021-02-01,3408.0,3571.0
2021-03-01,3255.0,3273.0
2021-04-01,3293.0,3442.0
2021-05-01,3486.0,3674.0
2021-06-01,3487.0,3841.0
2021-07-01,3369.0,3662.0
2021-08-01,3308.0,3628.0
2021-09-01,3350.0,3801.0
2021-10-01,3583.0,3850.0
2021-11-01,3334.0,3681.0
2021-12-01,3461.0,3530.0
2022-01-01,3851.0,3665.0
2022-02-01,3912.0,3595.0
2022-03-01,3699.0,3540.0
2022-04-01,4130.0,3559.0
2022-05-01,3969.0,3715.0
2022-06-01,3851.0,3608.0
2022-07-01,4173.0,3888.0
2022-08-01,3954.0,3649.0
2022-09-01,4084.0,3553.0
2022-10-01,3850.0,3601.0
2022-11-01,3708.0,3385.0
2022-12-01,3785.0,3445.0
2023-01-01,4311.0,3655.0
2023-02-01,4013.0,3345.0
2023-03-01,4012.0,3424.0
2023-04-01,4114.0,3442.0
2023-05-01,4086.0,3687.0
2023-06-01,4080.0,3506.0
2023-07-01,4230.0,3655.0
2023-08-01,3978.0,3364.0
2023-09-01,3948.0,3283.0
2023-10-01,3690.0,3234.0
2023-11-01,3769.0,3263.0
2023-12-01,3896.0,3459.0
2024-01-01,4126.0,3373.0
2024-02-01,4028.0,3381.0
2024-03-01,3887.0,3285.0
2024-04-01,3942.0,3187.0
2024-05-01,3809.0,3424.0
2024-06-01,3903.0,3408.0
2024-07-01,3845.0,3192.0
2024-08-01,3902.0,3172.0
2024-09-01,4013.0,3152.0
2024-10-01,3691.0,3089.0
2024-11-01,3682.0,3130.0
2024-12-01,3852.0,3003.0
2025-01-01,4048.0,3365.0
2025-02-01,3784.0,3049.0
2025-03-01,3768.0,3074.0
2025-04-01,3581.0,3087.0
2025-05-01,3742.0,3336.0
2025-06-01,4162.0,3384.0
2025-07-01,5302.0,3995.0
2025-08-01,7088.0,4002.0
2025-09-01,6649.0,3896.0
2025-10-01,6565.0,4090.0
